Date,Open,High,Low,Close,Adj Close,Volume,High_24hr_Change,Gain_Loss_High
2/11/81,0.118304,0.118304,0.117746,0.117746,0.092428,13843200,0.118304,Gain
2/12/81,0.117188,0.117188,0.116629,0.116629,0.091552,14560000,0.117188,Gain
2/13/81,0.114955,0.114955,0.113839,0.113839,0.089362,11155200,0.114955,Gain
2/17/81,0.116629,0.117188,0.116629,0.116629,0.091552,12275200,0.117188,Gain
2/18/81,0.121652,0.122768,0.121652,0.121652,0.095495,19241600,0.122768,Gain
2/19/81,0.114955,0.114955,0.114397,0.114397,0.0898,22310400,0.114955,Gain
2/20/81,0.108817,0.108817,0.108259,0.108259,0.084981,24371200,0.108817,Gain
2/23/81,0.109933,0.110491,0.109933,0.109933,0.086295,14112000,0.110491,Gain
2/24/81,0.107143,0.107143,0.106027,0.106027,0.083229,16979200,0.107143,Gain
2/25/81,0.112723,0.113281,0.112723,0.112723,0.088485,19488000,0.113281,Gain
2/26/81,0.114397,0.114955,0.114397,0.114397,0.0898,10841600,0.114955,Gain
2/27/81,0.118304,0.11942,0.118304,0.118304,0.092866,14761600,0.11942,Gain
3/2/81,0.118862,0.11942,0.118862,0.118862,0.093304,11760000,0.11942,Gain
3/3/81,0.117746,0.117746,0.117188,0.117188,0.09199,16172800,0.117746,Gain
3/4/81,0.116629,0.116629,0.116071,0.116071,0.091114,13708800,0.116629,Gain
3/5/81,0.116071,0.116071,0.115513,0.115513,0.090676,5376000,0.116071,Gain
3/6/81,0.115513,0.115513,0.114397,0.114397,0.0898,11603200,0.115513,Gain
3/9/81,0.106027,0.106027,0.105469,0.105469,0.082791,15321600,0.106027,Gain
3/10/81,0.101004,0.101004,0.100446,0.100446,0.078848,28380800,0.101004,Gain
3/11/81,0.097656,0.097656,0.09654,0.09654,0.075782,29859200,0.097656,Gain
3/12/81,0.100446,0.101004,0.100446,0.100446,0.078848,59248000,0.101004,Gain
3/13/81,0.099888,0.099888,0.09933,0.09933,0.077972,231302400,0.099888,Gain
3/16/81,0.103237,0.104353,0.103237,0.103237,0.081039,37228800,0.104353,Gain
3/17/81,0.108259,0.109375,0.108259,0.108259,0.084981,43747200,0.109375,Gain
3/18/81,0.114955,0.116071,0.114955,0.114955,0.090238,36937600,0.116071,Gain
3/19/81,0.114397,0.114397,0.113839,0.113839,0.089362,37811200,0.114397,Gain
3/20/81,0.114955,0.116071,0.114955,0.114955,0.090238,14604800,0.116071,Gain
3/23/81,0.11942,0.120536,0.11942,0.11942,0.093742,22019200,0.120536,Gain
3/24/81,0.11942,0.11942,0.118862,0.118862,0.093304,28156800,0.11942,Gain
3/25/81,0.117746,0.117746,0.116629,0.116629,0.091552,7056000,0.117746,Gain
3/26/81,0.114955,0.114955,0.114397,0.114397,0.0898,12275200,0.114955,Gain
3/27/81,0.111049,0.111049,0.110491,0.110491,0.086733,12252800,0.111049,Gain
3/30/81,0.110491,0.111607,0.110491,0.110491,0.086733,9900800,0.111607,Gain
3/31/81,0.110491,0.110491,0.109375,0.109375,0.085857,15993600,0.110491,Gain
4/1/81,0.108817,0.108817,0.108259,0.108259,0.084981,34070400,0.108817,Gain
4/2/81,0.117746,0.118304,0.117746,0.117746,0.092428,31404800,0.118304,Gain
4/3/81,0.118304,0.118862,0.118304,0.118304,0.092866,16486400,0.118862,Gain
4/6/81,0.116629,0.116629,0.116071,0.116071,0.091114,22803200,0.116629,Gain
4/7/81,0.115513,0.115513,0.114955,0.114955,0.090238,10684800,0.115513,Gain
4/8/81,0.120536,0.121652,0.120536,0.120536,0.094618,21952000,0.121652,Gain
4/9/81,0.122768,0.123326,0.122768,0.122768,0.096371,12499200,0.123326,Gain
